month;revenue_m;revenue
30/09/2020;14,49;1449000
31/10/2020;172,16;17216000
30/11/2020;105,8;10580000
31/12/2020;114,84;11484000
31/01/2021;103,95;10395000
28/02/2021;111,79;11179000
31/03/2021;119,62;11962000
30/04/2021;75,34;7534000
31/05/2021;89,71;8971000
30/06/2021;67;6700000
31/07/2021;112,58;11258000
31/08/2021;92,82;9282000
30/09/2021;163,72;16372000
31/10/2021;74,83;7483000
30/11/2021;128,25;12825000
31/12/2021;94,17;9417000
31/01/2022;148,79;14879000
28/02/2022;119,47;11947000
31/03/2022;133,06;13306000
30/04/2022;116,08;11608000
31/05/2022;69,31;6931000
30/06/2022;112,06;11206000
31/07/2022;98,06;9806000
31/08/2022;98,48;9848000
30/09/2022;104,83;10483000
31/10/2022;94,31;9431000
30/11/2022;136,77;13677000
31/12/2022;136,39;13639000
31/01/2023;110,88;11088000
28/02/2023;133,19;13319000
31/03/2023;90,84;9084000
30/04/2023;99,88;9988000
31/05/2023;59,56;5956000
30/06/2023;54,06;5406000
31/07/2023;52,63;5263000
31/08/2023;58,24;5824000
30/09/2023;68,59;6859000
31/10/2023;73,07;7307000
30/11/2023;100,63;10063000
31/12/2023;55,12;5512000
31/01/2024;60,95;6095000
29/02/2024;56,44;5644000
31/03/2024;40,95;4095000
